,step,loss,loss_dpo
0,1.0,0.6931472,0.6931472
1,2.0,0.71974516,0.71974516
2,3.0,0.6500004,0.6500004
3,4.0,0.6788941,0.6788941
4,5.0,0.70174074,0.70174074
5,6.0,0.6570417,0.6570417
6,7.0,0.6200424,0.6200424
7,8.0,0.5886652,0.5886652
8,9.0,0.6288951,0.6288951
9,10.0,0.51651406,0.51651406
10,11.0,0.71482396,0.71482396
11,12.0,0.5915392,0.5915392
12,13.0,0.6621596,0.6621596
13,14.0,0.6560207,0.6560207
14,15.0,0.6138987,0.6138987
15,16.0,0.65160424,0.65160424
16,17.0,0.68640214,0.68640214
17,18.0,0.5910344,0.5910344
18,19.0,0.57135737,0.57135737
19,20.0,0.7761416,0.7761416
20,21.0,0.6495734,0.6495734
21,22.0,0.6250958,0.6250958
22,23.0,0.6036113,0.6036113
23,24.0,0.668694,0.668694
24,25.0,0.5489041,0.5489041
25,26.0,0.71059746,0.71059746
26,27.0,0.5248084,0.5248084
27,28.0,0.6602687,0.6602687
28,29.0,0.60294133,0.60294133
29,30.0,0.68822557,0.68822557
30,31.0,0.6140466,0.6140466
31,32.0,0.5322134,0.5322134
32,33.0,0.74308777,0.74308777
33,34.0,0.59822947,0.59822947
34,35.0,0.60309356,0.60309356
35,36.0,0.54702467,0.54702467
36,37.0,0.48815942,0.48815942
37,38.0,0.5625711,0.5625711
38,39.0,0.4588386,0.4588386
39,40.0,0.5950918,0.5950918
40,41.0,0.61450267,0.61450267
41,42.0,0.558483,0.558483
42,43.0,0.60715705,0.60715705
43,44.0,0.5601418,0.5601418
44,45.0,0.5676057,0.5676057
45,46.0,0.60023814,0.60023814
46,47.0,0.49108446,0.49108446
47,48.0,0.55793893,0.55793893
48,49.0,0.8993759,0.8993759
49,50.0,0.40938297,0.40938297
50,51.0,0.6983169,0.6983169
51,52.0,0.67104,0.67104
52,53.0,0.646667,0.646667
53,54.0,1.0488063,1.0488063
54,55.0,0.517102,0.517102
55,56.0,0.695057,0.695057
56,57.0,0.42151356,0.42151356
57,58.0,0.67143816,0.67143816
58,59.0,0.49723995,0.49723995
59,60.0,0.70426995,0.70426995
60,61.0,0.51553684,0.51553684
61,62.0,0.37693393,0.37693393
62,63.0,0.56360334,0.56360334
63,64.0,0.5051138,0.5051138
64,65.0,0.579367,0.579367
65,66.0,0.6773944,0.6773944
66,67.0,0.56383663,0.56383663
67,68.0,0.72038597,0.72038597
68,69.0,0.5887985,0.5887985
69,70.0,0.36429802,0.36429802
70,71.0,0.65380627,0.65380627
71,72.0,0.5776039,0.5776039
72,73.0,0.49610415,0.49610415
73,74.0,0.39119944,0.39119944
74,75.0,0.46771422,0.46771422
75,76.0,0.6088962,0.6088962
76,77.0,0.7859516,0.7859516
77,78.0,1.0718956,1.0718956
78,79.0,0.58787173,0.58787173
79,80.0,0.44605038,0.44605038
80,81.0,0.45754218,0.45754218
81,82.0,0.56191653,0.56191653
82,83.0,0.5749853,0.5749853
83,84.0,0.5067015,0.5067015
84,85.0,0.44399774,0.44399774
85,86.0,0.48421398,0.48421398
86,87.0,0.6462684,0.6462684
87,88.0,0.472404,0.472404
88,89.0,0.5624606,0.5624606
89,90.0,0.3501934,0.3501934
90,91.0,0.5558798,0.5558798
91,92.0,0.8733952,0.8733952
92,93.0,0.56080836,0.56080836
93,94.0,1.1820166,1.1820166
94,95.0,0.63936836,0.63936836
95,96.0,0.8304827,0.8304827
96,97.0,0.90321404,0.90321404
97,98.0,0.58161575,0.58161575
98,99.0,0.5493853,0.5493853
99,100.0,0.7458504,0.7458504
100,101.0,0.84519225,0.84519225
101,102.0,0.5673965,0.5673965
102,103.0,0.6126804,0.6126804
103,104.0,0.5964508,0.5964508
104,105.0,0.68260837,0.68260837
105,106.0,0.59959215,0.59959215
106,107.0,0.72188836,0.72188836
107,108.0,0.5451794,0.5451794
108,109.0,0.64371634,0.64371634
109,110.0,0.5285937,0.5285937
110,111.0,0.7148234,0.7148234
111,112.0,0.50454044,0.50454044
112,113.0,0.5270638,0.5270638
113,114.0,0.7048149,0.7048149
114,115.0,0.5777593,0.5777593
115,116.0,0.7227606,0.7227606
116,117.0,0.5329814,0.5329814
117,118.0,0.56083053,0.56083053
118,119.0,0.6330004,0.6330004
119,120.0,0.6152815,0.6152815
120,121.0,0.53942144,0.53942144
121,122.0,0.64779055,0.64779055
122,123.0,0.49318352,0.49318352
123,124.0,0.5912531,0.5912531
124,125.0,0.71657914,0.71657914
125,126.0,0.5034381,0.5034381
126,127.0,0.8075908,0.8075908
127,128.0,0.42951503,0.42951503
128,129.0,0.5783414,0.5783414
129,130.0,0.58632094,0.58632094
130,131.0,0.55818266,0.55818266
131,132.0,0.68486816,0.68486816
132,133.0,0.5796535,0.5796535
133,134.0,0.566872,0.566872
134,135.0,0.5998537,0.5998537
135,136.0,0.60092247,0.60092247
136,137.0,0.70578045,0.70578045
137,138.0,0.38422516,0.38422516
138,139.0,0.629253,0.629253
139,140.0,0.9461832,0.9461832
140,141.0,0.76026434,0.76026434
141,142.0,0.50840324,0.50840324
142,143.0,0.48366675,0.48366675
143,144.0,0.49783364,0.49783364
144,145.0,0.68752736,0.68752736
145,146.0,0.39111078,0.39111078
146,147.0,0.61886334,0.61886334
147,148.0,0.69525033,0.69525033
