,step,loss,loss_dpo,loss_llh
0,1.0,1.3173332,0.6931472,0.624186
1,2.0,1.3012724,0.6970463,0.6042262
2,3.0,1.2538787,0.6602821,0.59359664
3,4.0,1.3592199,0.70292586,0.65629405
4,5.0,1.296441,0.6621497,0.63429123
5,6.0,1.2020469,0.60693944,0.5951075
6,7.0,1.2625906,0.6474957,0.615095
7,8.0,1.2443566,0.6212497,0.623107
8,9.0,1.2839533,0.6759255,0.6080278
9,10.0,1.085285,0.51374656,0.5715383
10,11.0,1.3556128,0.7360851,0.6195277
11,12.0,1.3040116,0.72789425,0.5761174
12,13.0,1.2462955,0.6816077,0.5646877
13,14.0,1.3299212,0.7385388,0.59138244
14,15.0,1.1769917,0.61987656,0.5571152
15,16.0,1.1676416,0.59387,0.57377166
16,17.0,1.3763341,0.7349887,0.6413454
17,18.0,1.0642116,0.5605684,0.5036432
18,19.0,1.115947,0.5457445,0.5702025
19,20.0,1.3134028,0.72767997,0.5857228
20,21.0,1.2970922,0.71080446,0.58628774
21,22.0,1.1781898,0.57845527,0.5997345
22,23.0,1.1532961,0.6089726,0.5443235
23,24.0,1.2612069,0.6727547,0.58845216
24,25.0,1.0169435,0.482638,0.5343055
25,26.0,1.1307085,0.56150454,0.569204
26,27.0,1.029252,0.5023764,0.52687573
27,28.0,1.2504792,0.6927292,0.5577501
28,29.0,1.249332,0.6379227,0.6114092
29,30.0,1.1992047,0.6264966,0.57270813
30,31.0,1.1695524,0.62306476,0.5464877
31,32.0,1.052003,0.4978837,0.5541193
32,33.0,0.860338,0.40428415,0.45605382
33,34.0,0.92549014,0.46475038,0.46073976
34,35.0,1.2206526,0.68394256,0.53670996
35,36.0,1.1372906,0.59328544,0.54400516
36,37.0,0.875636,0.41752413,0.45811182
37,38.0,1.0700481,0.551512,0.51853615
38,39.0,1.0777048,0.6453372,0.43236753
39,40.0,0.98153985,0.4521782,0.52936167
40,41.0,1.2927175,0.74916047,0.543557
41,42.0,1.0497627,0.5746811,0.4750816
42,43.0,1.449736,0.88948584,0.56025016
43,44.0,0.86676073,0.43551078,0.43124995
44,45.0,1.7195307,1.1590261,0.56050456
45,46.0,1.4516339,0.87679607,0.5748379
46,47.0,0.9024711,0.4174056,0.48506552
47,48.0,1.1654811,0.60877043,0.5567106
48,49.0,0.9724443,0.5635514,0.40889284
49,50.0,1.070573,0.5760755,0.4944975
50,51.0,1.4055619,0.7647026,0.64085925
51,52.0,1.2126946,0.66132593,0.5513687
52,53.0,1.2425792,0.68324566,0.5593335
53,54.0,1.2705184,0.75380546,0.51671296
